Permalink,Name,Description,Meta Title,Meta Description,Width,Length,Height,Brand,Barcode,Categories,Images,Digital,Featured,Status,SKU,Weight,Stock,Stock Unlimited,Price,Custom Field 1 Label,Custom Field 1 Value,Custom Field 1 Type,Custom Field 2 Label,Custom Field 2 Value,Custom Field 2 Type,Custom Field 3 Label,Custom Field 3 Value,Custom Field 3 Type,Google Product Category
,Bufanda de lana café,"<p><b>Descripción:</b> Abrigada bufanda de lana, con diseño geométrico y floral. Por su gran tamaño funciona bien como bufanda y chalcito a le vez, para ver calientita junto a un tecito tus series favoritas. </p><p><b>Medidas:</b> largo: 195 cm</p><p><b>Composición:</b> 100% lana</p>",,"Abrigada bufanda de lana, con diseño geométrico y floral. Por su gran tamaño funciona bien como bufanda y chalcito a le vez, para ver calientita junto a un tecito tus series favoritas.",10,10,10,,,"Productos,Productos / Accesorios","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/ACC-CFE-2021002-001-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/ACC-CFE-2021002-001-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/ACC-CFE-2021002-001-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/ACC-CFE-2021002-001-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/ACC-CFE-2021002-001-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/ACC-CFE-2021002-001-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/ACC-CFE-2021002-001-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/ACC-CFE-2021002-001-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/ACC-CFE-2021002-001-9.jpg",NO,NO,disabled,ACC-CFE-2021002-001,0.25,1,NO,12000,color,café,selection,talla,,selection,condición,usado,selection,Apparel & Accessories > Clothing Accessories
,Pantalón de cotelé beige,"<p><b>Descripción:</b> Pantalón de cotelé suave y abrigado, de color beige y corte recto. Ideal para esos días más fríos. Tiene un pequeña manchita clara por delante.</p><p><b>Marca:</b> Carrera</p><p><b>Talla estimada:</b> 40</p><p><b>Talla etiqueta:</b> 46</p><p><b>Medidas:</b> contorno de cintura: 80 cm / largo total: 109 cm / contorno de cadera: 100 cm / largo de tiro: 29 cm</p><p><b>Composición:</b> 100% algodón</p>",,"Pantalón de cotelé suave y abrigado, de color beige y corte recto. Ideal para esos días más fríos.",10,10,10,Carrera,,"Productos,Productos / Pantalones & Jeans","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-BGE-2021002-002-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-BGE-2021002-002-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-BGE-2021002-002-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-BGE-2021002-002-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-BGE-2021002-002-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-BGE-2021002-002-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-BGE-2021002-002-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-BGE-2021002-002-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-BGE-2021002-002-9.jpg",NO,NO,disabled,PNT-BGE-2021002-002,0.64,1,NO,16000,color,beige,selection,talla,40,selection,condición,usado,selection,Apparel & Accessories > Clothing > Pants
,Jeans negros Ooh La La,"<p><b>Descripción:</b> Jeans de mezclilla negra, tiro medio y clásico corte recto. Su composición de algodón con un pequeño porcentaje de spándex le ortorga un calce lindo y cómodo. Un básico en cualquier clóset. </p><p><b>Marca:</b> Ooh La La</p><p><b>Talla estimada:</b> 40</p><p><b>Talla etiqueta:</b> 10</p><p><b>Medidas:</b> contorno de cintura: 82 cm / largo total: 104 cm / contorno de cadera: 100 cm / largo de tiro: 26 cm</p><p><b>Composición:</b> 99% algodón / 1% spandex</p>",,"Jeans de mezclilla negra, tiro medio y clásico corte recto. Su composición de algodón con un pequeño porcentaje de spándex le ortorga un calce lindo y cómodo. Un básico en cualquier clóset.",10,10,10,Ooh La La,,"Colecciones,Colecciones / Back to Basic,Productos,Productos / Pantalones & Jeans","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-003-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-003-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-003-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-003-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-003-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-003-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-003-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-003-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-003-9.jpg",NO,NO,disabled,PNT-NGR-2021002-003,0.65,1,NO,16000,color,negro,selection,talla,40,selection,condición,usado,selection,Apparel & Accessories > Clothing > Pants
,Pantalón de cotelé negro,<p><b>Descripción:</b> Clásico pantalón de cotelé negro y corte recto. Ideal para las tardes frescas que aun no terminan. </p><p><b>Marca:</b> Holiday</p><p><b>Talla estimada:</b> 42</p><p><b>Talla etiqueta:</b> 36</p><p><b>Medidas:</b> contorno de cintura: 76 cm / largo total: 106 cm / contorno de cadera: 102 cm / largo de tiro: 29 cm</p><p><b>Composición:</b> 99% algodón / 2% elastano</p>,,Clásico pantalón de cotelé negro y corte recto. Ideal para las tardes frescas que aun no terminan.,10,10,10,Holiday,,"Productos,Productos / Pantalones & Jeans","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-004-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-004-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-004-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-004-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-004-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-004-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-004-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-004-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-NGR-2021002-004-9.jpg",NO,NO,disabled,PNT-NGR-2021002-004,0.61,1,NO,16000,color,negro,selection,talla,42,selection,condición,usado,selection,Apparel & Accessories > Clothing > Pants
,Pantalón de cotelé cherry,"<p><b>Descripción:</b> Alegre pantalón de cotelé rojo con cierre y broche en la cintura que simula botones metálicos. De confección italiana, su pretina otorga un ajuste sencillo y realmente vintage. Tiene un pequeño desgaste en la pretina interior, totalmente imperceptible al usarlo.</p><p><b>Marca:</b> Colmar</p><p><b>Talla estimada:</b> 38</p><p><b>Talla etiqueta:</b> 12</p><p><b>Medidas:</b> contorno de cintura: 78 cm / largo total: 92 cm / contorno de cadera: 98 cm / largo de tiro: 27 cm</p><p><b>Composición:</b> 80% algodón / 18% nylon / 2% elastano</p>",,"Alegre pantalón de cotelé rojo con cierre y broche en la cintura que simula botones metálicos. De confección italiana, su pretina otorga un ajuste sencillo y realmente vintage.",10,10,10,Colmar,,"Productos,Productos / Pantalones & Jeans","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-RJO-2021002-005-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-RJO-2021002-005-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-RJO-2021002-005-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-RJO-2021002-005-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-RJO-2021002-005-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-RJO-2021002-005-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-RJO-2021002-005-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-RJO-2021002-005-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-RJO-2021002-005-9.jpg",NO,NO,disabled,PNT-RJO-2021002-005,0.465,1,NO,16000,color,rojo,selection,talla,38,selection,condición,usado,selection,Apparel & Accessories > Clothing > Pants
,Jeans clásico Levi's,"<p><b>Descripción:</b> Perfecto y clásico blue jeans Levi's de corte recto y desgaste natural. Este básico es un imprescindible en cualquier clóset, completamente atemporal. </p><p><b>Marca:</b> Levi</p><p><b>Talla estimada:</b> 38</p><p><b>Medidas:</b> contorno de cintura: 82 cm / largo total: 111 cm / contorno de cadera: 106 cm / largo de tiro: 29 cm</p><p><b>Composición:</b> 100% algodón</p>",,"Perfecto y clásico blue jeans Levi's de corte recto y desgaste natural. Este básico es un imprescindible en cualquier clóset, completamente atemporal.",10,10,10,Levi,,"Colecciones,Colecciones / Back to Basic,Productos,Productos / Pantalones & Jeans","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-AZL-2021002-006-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-AZL-2021002-006-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-AZL-2021002-006-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-AZL-2021002-006-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-AZL-2021002-006-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-AZL-2021002-006-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-AZL-2021002-006-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-AZL-2021002-006-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/PNT-AZL-2021002-006-9.jpg",NO,NO,disabled,PNT-AZL-2021002-006,0.79,1,NO,26000,color,azul,selection,talla,38,selection,condición,usado,selection,Apparel & Accessories > Clothing > Pants
,Vestido negro blossom,"<p><b>Descripción:</b> Hermoso vestido negro con estampado floral, de delicadas mangas y vaporosa caída. La primavera también se vive en blanco y negro. Tiene cierre por la espalda. </p><p><b>Talla estimada:</b> L</p><p><b>Talla etiqueta:</b> 46</p><p><b>Medidas:</b> ancho de hombros: 44 cm / contorno de busto: 102 cm / contorno de cintura: 88 cm / largo de mangas: 31 cm / largo total: 124 cm / contorno de cadera: 124 cm</p><p><b>Composición:</b> 100% poliéster</p>",,"Hermoso vestido negro con estampado floral, de delicadas mangas y vaporosa caída. La primavera también se vive en blanco y negro. Tiene cierre por la espalda.",10,10,10,,,"Productos,Productos / Vestidos & Enteritos","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-007-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-007-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-007-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-007-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-007-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-007-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-007-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-007-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-007-9.jpg",NO,NO,disabled,VST-NGR-2021002-007,0.335,1,NO,28000,color,negro,selection,talla,L,selection,condición,usado,selection,Apparel & Accessories > Clothing > Dresses
,Vestido black & white,"<p><b>Descripción:</b> Elegante vestido ochentero en blanco y negro. Su parte superior de poliéster tiene un estampado de hojas, escote cruzado y botones negros con borde dorado en la espalda y puño. Su parte inferior es de terciopelo compuesto enteramente de rayón, con un pequeño escote en la parte trasera. Presenta un leve desgate la tela de ambos hombros.</p><p><b>Marca:</b> Demaro</p><p><b>Talla estimada:</b> S</p><p><b>Talla etiqueta:</b> 7</p><p><b>Medidas:</b> ancho de hombros: 42 cm / contorno de busto: 100 cm / contorno de cintura: 70 cm / largo de mangas: 54 cm / largo total: 116 cm / contorno de cadera: 100 cm</p><p><b>Composición:</b> poliéster / rayón</p>",,"Elegante vestido ochentero en blanco y negro. Su parte superior de poliéster tiene un estampado de hojas, escote cruzado y botones negros con borde dorado en la espalda y puño. Su parte inferior es de terciopelo compuesto enteramente de rayón, con un pequeño escote en la parte trasera.",10,10,10,Demaro,,"Productos,Productos / Vestidos & Enteritos","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-BYN-2021002-008-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-BYN-2021002-008-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-BYN-2021002-008-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-BYN-2021002-008-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-BYN-2021002-008-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-BYN-2021002-008-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-BYN-2021002-008-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-BYN-2021002-008-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-BYN-2021002-008-9.jpg",NO,NO,disabled,VST-BYN-2021002-008,0.47,1,NO,24000,color,blanco & negro,selection,talla,S,selection,condición,usado,selection,Apparel & Accessories > Clothing > Dresses
,Vestido black forest,"<p><b>Descripción:</b> Vestido negro con delicado bordado floral, también en negro. Destaca su cierre abotonado por el frente, otorgándole una caida envidiable. </p><p><b>Marca:</b> Yessica</p><p><b>Talla estimada:</b> 42</p><p><b>Talla etiqueta:</b> 42</p><p><b>Medidas:</b> ancho de hombros: 40 cm / contorno de busto: 110 cm / contorno de cintura: 78 cm / largo de mangas: 43 cm / largo total: 109 cm / contorno de cadera: 108 cm</p><p><b>Composición:</b> 100% poliéster</p>",,"Vestido negro con delicado bordado floral, también en negro. Destaca su cierre abotonado por el frente, otorgándole una caida envidiable.",10,10,10,Yessica,,"Productos,Productos / Vestidos & Enteritos","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-009-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-009-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-009-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-009-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-009-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-009-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-009-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-009-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-NGR-2021002-009-9.jpg",NO,NO,disabled,VST-NGR-2021002-009,0.285,1,NO,20000,color,negro,selection,talla,42,selection,condición,usado,selection,Apparel & Accessories > Clothing > Dresses
,Vestido blue phantasy,<p><b>Descripción:</b> Hermoso vestido de tela plisada y acabado metálico que nos transporta a los años 70s. Su calce elasticado se ajusta cómodamente a todo tipo de cuerpo. </p><p><b>Marca:</b> C&A</p><p><b>Talla estimada:</b> 44</p><p><b>Talla etiqueta:</b> 44</p><p><b>Medidas:</b> ancho de hombros: 40 cm / contorno de busto: 104 cm / contorno de cintura: 84 cm / largo de mangas: 57 cm / largo total: 116 cm / contorno de cadera: 116 cm</p><p><b>Composición:</b> 92% poliéster / 8% metálico</p>,,Hermoso vestido de tela plisada y acabado metálico que nos transporta a los años 70s. Su calce elasticado se ajusta cómodamente a todo tipo de cuerpo.,10,10,10,C&A,,"Productos,Productos / Vestidos & Enteritos","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-AZL-2021002-010-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-AZL-2021002-010-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-AZL-2021002-010-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-AZL-2021002-010-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-AZL-2021002-010-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-AZL-2021002-010-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-AZL-2021002-010-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-AZL-2021002-010-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-AZL-2021002-010-9.jpg",NO,NO,disabled,VST-AZL-2021002-010,0.38,1,NO,24000,color,azul,selection,talla,44,selection,condición,usado,selection,Apparel & Accessories > Clothing > Dresses
,Vestido Sarah,"<p><b>Descripción:</b> Clásico vestido de corte vintage en dos partes. La superior de un suave terciopelo negro con tornasol burdeo oscuro, y hombro princesa. La parte inferior es complementamente de seda, con hermosa caída y estampado de flores. </p><p><b>Marca:</b> Maggy London</p><p><b>Talla estimada:</b> S</p><p><b>Talla etiqueta:</b> 6</p><p><b>Medidas:</b> ancho de hombros: 39 cm / contorno de busto: 88 cm / contorno de cintura: 72 cm / largo de mangas: 61 cm / largo total: 124 cm / contorno de cadera: 140 cm</p><p><b>Composición:</b> velvet / seda</p>",,"Clásico vestido de corte vintage en dos partes. La superior de un suave terciopelo negro con tornasol burdeo oscuro, y hombro princesa. La parte inferior es complementamente de seda, con hermosa caída y estampado de flores.",10,10,10,Maggy London,,"Productos,Productos / Vestidos & Enteritos","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-MLT-2021002-011-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-MLT-2021002-011-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-MLT-2021002-011-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-MLT-2021002-011-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-MLT-2021002-011-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-MLT-2021002-011-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-MLT-2021002-011-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-MLT-2021002-011-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-MLT-2021002-011-9.jpg",NO,NO,disabled,VST-MLT-2021002-011,0.415,1,NO,25000,color,multicolor,selection,talla,S,selection,condición,usado,selection,Apparel & Accessories > Clothing > Dresses
,Vestido Carroll,"<p><b>Descripción:</b> Auténtico vestido ochentero, de inteso color verde y estampado geométrico. Su parte superior es ancha, con botones en la espalda. La cintura es ajustada, de corte en V y cierre en la espalda, otorgando una clásica silueta ochentera. Ojo, la cintura no es elasticada, asi que que su calce es tal como indica la medida. </p><p><b>Marca:</b> Algo</p><p><b>Talla estimada:</b> S</p><p><b>Talla etiqueta:</b> 5</p><p><b>Medidas:</b> ancho de hombros: 43 cm / contorno de busto: 116 cm / contorno de cintura: 70 cm / largo de mangas: 44 cm / largo total: 110 cm / contorno de cadera: 112 cm</p><p><b>Composición:</b> lanilla</p>",,"Auténtico vestido ochentero, de inteso color verde y estampado geométrico. Su parte superior es ancha, con botones en la espalda. La cintura es ajustada, de corte en V y cierre en la espalda, otorgando una clásica silueta ochentera. Ojo, la cintura no es elasticada, asi que que su calce es tal como indica la medida.",10,10,10,Algo,,"Productos,Productos / Vestidos & Enteritos","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-VRD-2021002-012-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-VRD-2021002-012-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-VRD-2021002-012-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-VRD-2021002-012-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-VRD-2021002-012-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-VRD-2021002-012-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-VRD-2021002-012-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-VRD-2021002-012-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-VRD-2021002-012-9.jpg",NO,NO,disabled,VST-VRD-2021002-012,0.765,1,NO,26000,color,verde,selection,talla,S,selection,condición,usado,selection,Apparel & Accessories > Clothing > Dresses
,Vestido caribbean blue,"<p><b>Descripción:</b> Hermoso vestido de corte recto, de impactante color turquesa. Sus grandes botones por el frente y sus hombros tipo princesa son detalles que nos hacen amarlo aun más. </p><p><b>Marca:</b> Mi-Jo</p><p><b>Talla estimada:</b> 42</p><p><b>Talla etiqueta:</b> 42</p><p><b>Medidas:</b> ancho de hombros: 38 cm / contorno de busto: 102 cm / contorno de cintura: 102 cm / largo de mangas: 64 cm / largo total: 112 cm / contorno de cadera: 100 cm</p><p><b>Composición:</b> 100% lana</p>",,"Hermoso vestido de corte recto, de impactante color turquesa. Sus grandes botones por el frente y sus hombros tipo princesa son detalles que nos hacen amarlo aun más.",10,10,10,Mi-Jo,,"Productos,Productos / Vestidos & Enteritos","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-CLP-2021002-013-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-CLP-2021002-013-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-CLP-2021002-013-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-CLP-2021002-013-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-CLP-2021002-013-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-CLP-2021002-013-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-CLP-2021002-013-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-CLP-2021002-013-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_002/VST-CLP-2021002-013-9.jpg",NO,NO,disabled,VST-CLP-2021002-013,0.535,1,NO,26000,color,calipso,selection,talla,42,selection,condición,usado,selection,Apparel & Accessories > Clothing > Dresses
